Redshift   r_mag   g-r_col   g-r_slope   z_mag     r-z_col   r-z_slope
0.920000 -10.000000 -10.000000 -10.000000 20.364000 1.881000 -0.019000
0.930000 -10.000000 -10.000000 -10.000000 20.378000 1.891000 -0.019000
0.940000 -10.000000 -10.000000 -10.000000 20.394000 1.904000 -0.019000
0.950000 -10.000000 -10.000000 -10.000000 20.410000 1.915000 -0.019000
0.960000 -10.000000 -10.000000 -10.000000 20.428000 1.927000 -0.019000
0.970000 -10.000000 -10.000000 -10.000000 20.448000 1.936000 -0.019000
0.980000 -10.000000 -10.000000 -10.000000 20.468000 1.940000 -0.019000
0.990000 -10.000000 -10.000000 -10.000000 20.486000 1.943000 -0.019000
1.000000 -10.000000 -10.000000 -10.000000 20.503000 1.946000 -0.019000
1.010000 -10.000000 -10.000000 -10.000000 20.522000 1.951000 -0.019000
1.020000 -10.000000 -10.000000 -10.000000 20.540000 1.962000 -0.019000
1.030000 -10.000000 -10.000000 -10.000000 20.559000 1.977000 -0.019000
1.040000 -10.000000 -10.000000 -10.000000 20.576000 1.994000 -0.019000
1.050000 -10.000000 -10.000000 -10.000000 20.592000 2.006000 -0.019000
1.060000 -10.000000 -10.000000 -10.000000 20.608000 2.017000 -0.019000
1.070000 -10.000000 -10.000000 -10.000000 20.625000 2.028000 -0.019000
1.080000 -10.000000 -10.000000 -10.000000 20.643000 2.036000 -0.019000
1.090000 -10.000000 -10.000000 -10.000000 20.661000 2.051000 -0.019000
1.100000 -10.000000 -10.000000 -10.000000 20.677000 2.053000 -0.019000
1.110000 -10.000000 -10.000000 -10.000000 20.694000 2.054000 -0.019000
1.120000 -10.000000 -10.000000 -10.000000 20.709000 2.058000 -0.019000
1.130000 -10.000000 -10.000000 -10.000000 20.726000 2.062000 -0.019000
1.140000 -10.000000 -10.000000 -10.000000 20.750000 2.063000 -0.019000
1.150000 -10.000000 -10.000000 -10.000000 20.773000 2.062000 -0.019000
1.160000 -10.000000 -10.000000 -10.000000 20.799000 2.067000 -0.019000
1.170000 -10.000000 -10.000000 -10.000000 20.821000 2.081000 -0.019000
1.180000 -10.000000 -10.000000 -10.000000 20.845000 2.091000 -0.020000
1.190000 -10.000000 -10.000000 -10.000000 20.869000 2.099000 -0.021000
1.200000 -10.000000 -10.000000 -10.000000 20.892000 2.109000 -0.021000
1.210000 -10.000000 -10.000000 -10.000000 20.917000 2.121000 -0.022000
1.220000 -10.000000 -10.000000 -10.000000 20.945000 2.109000 -0.022000
1.230000 -10.000000 -10.000000 -10.000000 20.972000 2.112000 -0.022000
1.240000 -10.000000 -10.000000 -10.000000 20.995000 2.122000 -0.023000
1.250000 -10.000000 -10.000000 -10.000000 21.020000 2.122000 -0.023000
1.260000 -10.000000 -10.000000 -10.000000 21.042000 2.130000 -0.024000
1.270000 -10.000000 -10.000000 -10.000000 21.066000 2.143000 -0.025000
1.280000 -10.000000 -10.000000 -10.000000 21.089000 2.144000 -0.025000
1.290000 -10.000000 -10.000000 -10.000000 21.113000 2.153000 -0.026000
1.300000 -10.000000 -10.000000 -10.000000 21.133000 2.171000 -0.028000
1.310000 -10.000000 -10.000000 -10.000000 21.154000 2.173000 -0.029000
1.320000 -10.000000 -10.000000 -10.000000 21.174000 2.187000 -0.030000
1.330000 -10.000000 -10.000000 -10.000000 21.194000 2.210000 -0.032000
1.340000 -10.000000 -10.000000 -10.000000 21.213000 2.213000 -0.033000
1.350000 -10.000000 -10.000000 -10.000000 21.232000 2.233000 -0.035000
1.360000 -10.000000 -10.000000 -10.000000 21.252000 2.253000 -0.037000
1.370000 -10.000000 -10.000000 -10.000000 21.275000 2.265000 -0.039000
1.380000 -10.000000 -10.000000 -10.000000 21.297000 2.277000 -0.040000
1.390000 -10.000000 -10.000000 -10.000000 21.322000 2.291000 -0.042000
1.400000 -10.000000 -10.000000 -10.000000 21.338000 2.312000 -0.044000
1.410000 -10.000000 -10.000000 -10.000000 21.364000 2.317000 -0.046000
1.420000 -10.000000 -10.000000 -10.000000 21.387000 2.326000 -0.048000
1.430000 -10.000000 -10.000000 -10.000000 21.406000 2.346000 -0.050000
1.440000 -10.000000 -10.000000 -10.000000 21.427000 2.364000 -0.052000
1.450000 -10.000000 -10.000000 -10.000000 21.453000 2.371000 -0.054000
1.460000 -10.000000 -10.000000 -10.000000 21.477000 2.379000 -0.056000
1.470000 -10.000000 -10.000000 -10.000000 21.501000 2.394000 -0.059000
1.480000 -10.000000 -10.000000 -10.000000 21.529000 2.402000 -0.061000
1.490000 -10.000000 -10.000000 -10.000000 21.552000 2.406000 -0.063000
